"","Network","NoOrder","MR","Krisk","Kdegree","Degree","eigenc"
"79","SD_020",0.741818181818182,0.315546772068511,0.345849802371542,0.36034255599473,0.348484848484849,0.372200263504611
"80","SD_021",0.797443977591036,0.425420168067227,0.461134453781513,0.467436974789916,0.456932773109244,0.473739495798319
"81","SD_022",0.729885814668423,0.351665166516652,0.3719955654102,0.388580931263858,0.382017738359202,0.428359201773836
"82","SD_023",0.583333333333333,0.3875,0.4,0.3875,0.3875,0.3875
"83","SD_024",0.654761904761905,0.512987012987013,0.551948051948052,0.535714285714286,0.511904761904762,0.535714285714286
"84","SD_025",0.583333333333333,0.472222222222222,0.555555555555556,0.555555555555556,0.5,0.555555555555556
"85","SD_026",0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"86","SD_027",0.5,0.475,0.475,0.475,0.475,0.475
"87","SD_028",0.6,0.442857142857143,0.442857142857143,0.442857142857143,0.442857142857143,0.442857142857143
"88","SD_029",0.575,0.5,0.5,0.5,0.5,0.5
"89","SD_030",0.5,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333,0.458333333333333
