"Network","giant_component","NoOrder","krisk","degree","kdegree","eigenc","best"
"M_PL_037.csv",50,10,5,5,5,7,5
"M_PL_038.csv",50,21,4,4,4,7,4
"M_PL_039.csv",68,26,6,7,9,10,6
"M_PL_040.csv",70,27,8,7,9,10,7
"M_PL_041.csv",70,25,10,10,11,12,10
"M_PL_042.csv",16,6,2,2,2,2,2
"M_PL_043.csv",110,44,12,14,14,19,12
"M_PL_044.csv",712,205,21,23,25,49,21
"M_PL_045.csv",41,17,6,5,7,8,5
"M_PL_046.csv",60,30,11,12,13,14,11
"M_PL_047.csv",205,64,4,4,4,4,4
"M_PL_048.csv",266,90,10,10,9,12,9
"M_PL_049.csv",262,92,11,13,15,16,11
"M_PL_050.csv",49,19,6,6,7,7,6
"M_PL_051.csv",104,35,3,3,3,3,3
"M_PL_052.csv",52,19,6,6,6,7,6
"M_PL_053.csv",364,114,19,23,23,34,19
"M_PL_054.csv",414,117,23,24,27,30,23
"M_PL_055.csv",253,101,16,16,17,19,16
"M_PL_056.csv",456,151,22,28,33,43,22
"M_PL_057.csv",997,248,17,17,20,36,17
"M_PL_058.csv",111,40,14,17,19,20,14
"M_PL_059.csv",26,13,6,5,5,5,5
"M_SD_001.csv",28,9,3,3,3,5,3
"M_SD_002.csv",40,17,5,5,5,5,5
"M_SD_003.csv",41,14,4,4,4,4,4
"M_SD_004.csv",52,26,4,4,4,4,4
"M_SD_005.csv",34,11,3,3,3,3,3
"M_SD_006.csv",34,8,4,4,5,5,4
"M_SD_007.csv",79,30,3,3,3,3,3
"M_SD_008.csv",26,13,9,9,8,11,8
"M_SD_009.csv",25,9,3,4,4,5,3
"M_SD_010.csv",64,31,8,8,9,13,8
"M_SD_011.csv",25,11,6,6,5,6,5
"M_SD_012.csv",64,26,12,13,12,14,12
"M_SD_013.csv",55,27,11,8,19,14,8
"M_SD_014.csv",33,17,9,10,10,10,9
"M_SD_015.csv",32,16,4,4,4,4,4
"M_SD_016.csv",85,38,17,18,20,23,17
"M_SD_017.csv",24,11,9,6,10,10,6
"M_SD_018.csv",53,13,4,5,5,5,4
"M_SD_019.csv",209,81,13,17,20,21,13
"M_SD_020.csv",58,26,8,9,10,10,8
"M_SD_021.csv",46,20,9,10,10,10,9
"M_SD_022.csv",317,124,39,51,53,60,39
"M_SD_023.csv",23,9,4,4,4,4,4
"M_SD_024.csv",19,10,6,6,7,8,6
"M_SD_025.csv",13,7,4,4,4,4,4
"M_SD_026.csv",6,2,2,2,2,2,2
"M_SD_027.csv",16,8,3,3,3,3,3
"M_SD_028.csv",13,7,3,3,3,3,3
"M_SD_029.csv",9,3,2,2,2,2,2
"M_SD_030.csv",9,4,2,2,2,2,2
"M_PL_001.csv",177,62,22,22,22,23,22
"M_PL_002.csv",103,44,15,12,13,15,12
"M_PL_003.csv",61,19,5,5,6,6,5
"M_PL_004.csv",112,31,3,3,3,3,3
"M_PL_005.csv",361,143,25,30,36,42,25
"M_PL_006.csv",78,31,3,3,3,3,3
"M_PL_007.csv",50,19,5,4,4,4,4
"M_PL_008.csv",49,21,6,7,7,11,6
"M_PL_009.csv",142,41,7,7,8,12,7
"M_PL_010.csv",107,48,23,29,29,32,23
"M_PL_011.csv",27,13,4,4,6,6,4
"M_PL_012.csv",84,31,7,7,7,7,7
"M_PL_013.csv",65,25,4,4,4,5,4
"M_PL_014.csv",108,43,6,5,5,6,5
"M_PL_015.csv",793,289,48,56,60,87,48
"M_PL_016.csv",205,42,9,9,10,17,9
"M_PL_017.csv",104,37,9,10,11,11,9
"M_PL_018.csv",144,54,18,19,23,24,18
